quarter,stock,name,score_mean,score_std,n_reports,confidence,weight_change
2017_Q1,601360,三六零,0.0,0.0,0,1.0,0.0
2017_Q1,601377,兴业证券,0.0,0.0,0,1.0,0.0
2017_Q1,601390,中国中铁,0.0,0.0,0,1.0,0.0
2017_Q1,601398,工商银行,0.0809800624847412,0.0665204100250837,1,0.9376285635044534,0.07592921966006877
2017_Q1,601600,中国铝业,0.0,0.0,0,1.0,0.0
2017_Q1,601601,中国太保,0.0,0.0,0,1.0,0.0
2017_Q1,601607,上海医药,0.0872467756271362,0.0029354963886473,2,0.9970730955288577,0.08699141264946039
2017_Q1,601618,中国中冶,0.0,0.0,0,1.0,0.0
2017_Q1,601628,中国人寿,0.0,0.0,0,1.0,0.0
2017_Q1,601633,长城汽车,0.1781515572220087,0.0550113297139795,4,0.9478571194786187,0.16886222185908348
2017_Q1,601658,邮储银行,0.0,0.0,0,1.0,0.0
2017_Q1,601668,中国建筑,0.0380199886858463,0.0665204100250837,1,0.9376285635044534,0.03564862737596564
2017_Q1,601669,中国电建,0.0,0.0,0,1.0,0.0
2017_Q1,601688,华泰证券,0.0849765539169311,0.0312331960435133,2,0.9697127709199584,0.0824028495620165
2017_Q1,601689,拓普集团,0.0,0.0,0,1.0,0.0
2017_Q1,601698,中国卫通,0.0,0.0,0,1.0,0.0
2017_Q1,601699,潞安环能,0.0,0.0,0,1.0,0.0
2017_Q1,601728,中国电信,0.0,0.0,0,1.0,0.0
2017_Q1,601766,中国中车,0.1009063869714737,0.0321700572656377,2,0.9688325997841281,0.09776139722439613
2017_Q1,601788,光大证券,0.0,0.0,0,1.0,0.0
2017_Q1,601799,星宇股份,0.0,0.0,0,1.0,0.0
2017_Q1,601800,中国交建,0.0,0.0,0,1.0,0.0
2017_Q1,601808,中海油服,0.0,0.0,0,1.0,0.0
2017_Q1,601816,京沪高铁,0.0,0.0,0,1.0,0.0
2017_Q1,601818,光大银行,0.0,0.0,0,1.0,0.0
2017_Q1,601825,沪农商行,0.0,0.0,0,1.0,0.0
2017_Q1,601838,成都银行,0.0,0.0,0,1.0,0.0
2017_Q1,601857,中国石油,0.0,0.0,0,1.0,0.0
2017_Q1,601865,福莱特,0.0,0.0,0,1.0,0.0
2017_Q1,601868,中国能建,0.0,0.0,0,1.0,0.0
2017_Q1,601872,招商轮船,0.0,0.0,0,1.0,0.0
2017_Q1,601877,正泰电器,0.0,0.0,0,1.0,0.0
2017_Q1,601878,浙商证券,0.0,0.0,0,1.0,0.0
2017_Q1,601881,中国银河,0.1761544048786163,0.0665204100250837,1,0.9376285635044534,0.1651674016013189
2017_Q1,601888,中国中免,0.1493091322481632,0.0387458033019513,2,0.9626994369760277,0.14373981755068596
2017_Q1,601898,中煤能源,0.1529033482074737,0.0665204100250837,1,0.9376285635044534,0.14336654673479482
2017_Q1,601899,紫金矿业,0.0,0.0,0,1.0,0.0
2017_Q1,601901,方正证券,0.0,0.0,0,1.0,0.0
2017_Q1,601916,浙商银行,0.0,0.0,0,1.0,0.0
2017_Q1,601919,中远海控,0.0,0.0,0,1.0,0.0
2017_Q1,601939,建设银行,0.0,0.0,0,1.0,0.0
2017_Q1,601985,中国核电,0.0,0.0,0,1.0,0.0
2017_Q1,601988,中国银行,0.1001899689435958,0.0665204100250837,1,0.9376285635044534,0.09394097665813954
2017_Q1,601995,中金公司,0.0,0.0,0,1.0,0.0
2017_Q1,601998,中信银行,0.0,0.0,0,1.0,0.0
2017_Q1,603019,中科曙光,0.0,0.0,0,1.0,0.0
2017_Q1,603195,公牛集团,0.0,0.0,0,1.0,0.0
2017_Q1,603259,药明康德,0.0,0.0,0,1.0,0.0
2017_Q1,603260,合盛硅业,0.0,0.0,0,1.0,0.0
